case_name,repeat,mode,schedule,merge,sync,processes,threads,trials,steps,batch_size,queue_size,ipc,workload,skew_factor,pre_work,post_work,time_total,time_pre,time_compute,time_sync,time_ipc,time_merge,time_post,speedup,efficiency,sequential_fraction_estimate,compute_ratio,sync_overhead_ratio,ipc_overhead_ratio,merge_overhead_ratio,throughput_batches_per_sec,total_trials,collision_count,hist_sum,checksum,valid,lock_wait_count,cond_wait_count,queue_push_count,queue_pop_count,ipc_write_count,ipc_read_count,ipc_bytes,notes
thread_2_reduce,4,thread,static,final,reduce,2,2,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.047926,0.000068,0.047762,0.000000,0.000000,0.000000,0.000092,0.000000,0.000000,0.003350,0.996589,0.000000,0.000000,0.000003,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_4_reduce,4,thread,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.026984,0.000068,0.026818,0.000000,0.000000,0.000000,0.000096,0.000000,0.000000,0.006079,0.993825,0.000000,0.000000,0.000006,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_8_reduce,4,thread,static,final,reduce,2,8,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.021028,0.000079,0.020853,0.000000,0.000000,0.000000,0.000092,0.000000,0.000000,0.008128,0.991713,0.000000,0.000000,0.000008,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_4_mutex,4,thread,static,final,mutex,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.213113,0.000088,0.212907,0.454179,0.000000,0.000000,0.000115,0.000000,0.000000,1.000000,0.999031,1.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,1000000,0,0,0,0,0,0,ok
thread_4_nosync,4,thread,static,final,nosync,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.039842,0.000076,0.039664,0.000000,0.000000,0.000000,0.000097,0.000000,0.000000,0.004344,0.995519,0.000000,0.000000,0.000001,0.000000,482773,329754,704416,1065631878176961921,0,0,0,0,0,0,0,0,ok
process_1_pipe,4,process,static,final,reduce,1,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.110757,0.000078,0.000052,0.110536,0.000006,0.000000,0.000085,0.000000,0.000000,0.999532,0.000468,0.998012,0.000050,0.000000,9.028812,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok
process_1_shm,4,process,static,final,reduce,1,4,1000000,50,1000,1024,shm,uniform,8,50000,10000,0.111675,0.000076,0.000049,0.111441,0.000000,0.000000,0.000108,0.000000,0.000000,0.999563,0.000437,0.997908,0.000002,0.000000,8.954559,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok
process_2_pipe,4,process,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.053929,0.000076,0.000066,0.053693,0.000002,0.000000,0.000091,0.000000,0.000000,0.998780,0.001220,0.995630,0.000045,0.000001,37.085798,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
process_2_shm,4,process,static,final,reduce,2,4,1000000,50,1000,1024,shm,uniform,8,50000,10000,0.057350,0.000087,0.000118,0.057056,0.000000,0.000000,0.000090,0.000000,0.000000,0.997946,0.002054,0.994862,0.000002,0.000001,34.873330,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
process_4_pipe,4,process,static,final,reduce,4,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.035213,0.000111,0.000155,0.034860,0.000003,0.000000,0.000084,0.000000,0.000000,0.995585,0.004415,0.989989,0.000072,0.000002,113.594814,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok
