case_name,repeat,mode,schedule,merge,sync,processes,threads,trials,steps,batch_size,queue_size,ipc,workload,skew_factor,pre_work,post_work,time_total,time_pre,time_compute,time_sync,time_ipc,time_merge,time_post,speedup,efficiency,sequential_fraction_estimate,compute_ratio,sync_overhead_ratio,ipc_overhead_ratio,merge_overhead_ratio,throughput_batches_per_sec,total_trials,collision_count,hist_sum,checksum,valid,lock_wait_count,cond_wait_count,queue_push_count,queue_pop_count,ipc_write_count,ipc_read_count,ipc_bytes,notes,profile,inner_work
process_1_pipe,3,process,static,final,reduce,1,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.132422,0.000068,0.000034,0.132231,0.000003,0.000000,0.000086,0.000000,0.000000,0.999744,0.000256,0.998561,0.000023,0.000000,7.551625,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok,default,0
process_1_shm,3,process,static,final,reduce,1,4,1000000,50,1000,1024,shm,skewed,8,50000,10000,0.131530,0.000084,0.000039,0.131321,0.000000,0.000000,0.000085,0.000000,0.000000,0.999702,0.000298,0.998411,0.000002,0.000000,7.602855,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok,default,0
process_2_pipe,3,process,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.084800,0.000078,0.000072,0.084546,0.000003,0.000000,0.000100,0.000000,0.000000,0.999147,0.000853,0.997001,0.000041,0.000001,23.584836,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
process_2_shm,3,process,static,final,reduce,2,4,1000000,50,1000,1024,shm,skewed,8,50000,10000,0.096576,0.000068,0.000091,0.096322,0.000000,0.000000,0.000095,0.000000,0.000000,0.999056,0.000944,0.997369,0.000000,0.000000,20.709106,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
process_4_pipe,3,process,static,final,reduce,4,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.063710,0.000073,0.000113,0.063436,0.000005,0.000000,0.000083,0.000000,0.000000,0.998224,0.001776,0.995704,0.000077,0.000002,62.784984,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok,default,0
process_4_shm,3,process,static,final,reduce,4,4,1000000,50,1000,1024,shm,skewed,8,50000,10000,0.063704,0.000068,0.000137,0.063407,0.000000,0.000000,0.000092,0.000000,0.000000,0.997851,0.002149,0.995335,0.000004,0.000002,62.790693,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok,default,0
hybrid_2x2,3,hybrid,static,final,reduce,2,2,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.061433,0.000068,0.000059,0.061224,0.000002,0.000000,0.000080,0.000000,0.000000,0.999047,0.000953,0.996597,0.000031,0.000001,32.555749,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
hybrid_2x4,3,hybrid,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.036492,0.000082,0.000058,0.036265,0.000002,0.000000,0.000085,0.000000,0.000000,0.998413,0.001587,0.993782,0.000046,0.000002,54.806784,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
hybrid_4x2,3,hybrid,static,final,reduce,4,2,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.036769,0.000076,0.000135,0.036471,0.000002,0.000000,0.000083,0.000000,0.000000,0.996316,0.003684,0.991915,0.000060,0.000002,108.788403,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok,default,0
hybrid_2x4_shm,3,hybrid,static,final,reduce,2,4,1000000,50,1000,1024,shm,skewed,8,50000,10000,0.037303,0.000068,0.000069,0.037083,0.000000,0.000000,0.000083,0.000000,0.000000,0.998153,0.001847,0.994109,0.000001,0.000002,53.615709,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
pipeline_final_b1000,3,pipeline,queue,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.036043,0.000079,0.035842,0.000068,0.000000,0.000004,0.000082,0.000000,0.000000,0.006478,0.994413,0.001893,0.000000,0.000121,27744.445909,1000000,529280,1000000,1026622357111743000,1,2004,0,1000,1000,0,0,0,ok,default,0
pipeline_interactive_b1000,3,pipeline,queue,interactive,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.037624,0.000075,0.037444,0.038934,0.000000,0.000062,0.000085,0.000000,0.000000,1.000000,0.995193,1.000000,0.000000,0.001656,26578.514593,1000000,529280,1000000,1026622357111743000,1,4005,665,2000,2000,0,0,0,ok,default,0
pipeline_interactive_b100,3,pipeline,queue,interactive,reduce,2,4,1000000,50,100,1024,pipe,skewed,8,50000,10000,0.072069,0.000171,0.071756,0.215378,0.000000,0.000620,0.000082,0.000000,0.000000,1.000000,0.995665,1.000000,0.000000,0.008596,138756.557531,1000000,529280,1000000,1026622357111743000,1,40005,4231,20000,20000,0,0,0,ok,default,0
pipeline_interactive_b10000,3,pipeline,queue,interactive,reduce,2,4,1000000,50,10000,1024,pipe,skewed,8,50000,10000,0.038244,0.000082,0.038048,0.037848,0.000000,0.000045,0.000094,0.000000,0.000000,0.995449,0.994883,0.989664,0.000000,0.001180,2614.806341,1000000,529280,1000000,1026622357111743000,1,405,96,200,200,0,0,0,ok,default,0
seq,4,seq,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.133096,0.000074,0.132942,0.000000,0.000000,0.000000,0.000080,0.000000,0.000000,0.001157,0.998842,0.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_1_reduce,4,thread,static,final,reduce,2,1,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.132806,0.000068,0.132631,0.000000,0.000000,0.000000,0.000103,0.000000,0.000000,0.001291,0.998685,0.000000,0.000000,0.000002,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_2_reduce,4,thread,static,final,reduce,2,2,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.084113,0.000068,0.083953,0.000000,0.000000,0.000000,0.000088,0.000000,0.000000,0.001860,0.998098,0.000000,0.000000,0.000002,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_4_reduce,4,thread,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.061271,0.000082,0.061096,0.000000,0.000000,0.000000,0.000089,0.000000,0.000000,0.002793,0.997149,0.000000,0.000000,0.000005,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_8_reduce,4,thread,static,final,reduce,2,8,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.036779,0.000081,0.036599,0.000000,0.000000,0.000000,0.000095,0.000000,0.000000,0.004777,0.995101,0.000000,0.000000,0.000003,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_4_mutex,4,thread,static,final,mutex,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.197523,0.000068,0.197362,0.344092,0.000000,0.000000,0.000090,0.000000,0.000000,1.000000,0.999184,1.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,1000000,0,0,0,0,0,0,ok,default,0
thread_4_nosync,4,thread,static,final,nosync,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.066567,0.000076,0.066397,0.000000,0.000000,0.000000,0.000089,0.000000,0.000000,0.002491,0.997447,0.000000,0.000000,0.000000,0.000000,572014,366424,756839,8685291860704269771,0,0,0,0,0,0,0,0,ok,default,0
